GAME_ID,PLAYER_ID,FGM,FGA,FG3M,FG3A,PTS,PLUS_MINUS
22100067,201942,7,18,1,4,20,-8
22100068,202711,5,12,2,6,19,25
22100068,1630256,3,12,1,8,7,-19
22100069,1629022,5,11,2,7,14,-10
22100069,203493,2,6,2,5,7,10
22100070,1630217,7,16,5,11,19,0
22100070,203952,7,15,1,4,16,0
22100055,202330,9,13,2,3,24,-4
22100055,1630532,5,7,3,4,15,6
22100056,203484,4,6,3,4,11,2
22100056,1628369,9,22,1,8,23,-8
22100057,202710,6,18,0,0,17,12
22100057,201142,9,18,2,4,25,-14
22100058,203200,1,8,1,5,3,-3
22100058,1630567,8,17,0,0,18,6
22100059,1629631,5,10,1,1,13,-2
22100059,1630529,3,4,1,1,8,-6
22100060,1630183,1,3,1,3,3,12
22100060,203114,6,16,1,8,16,-4
22100061,203145,4,6,3,5,11,6
22100061,1629652,5,12,1,3,17,11
22100062,203084,10,18,2,6,22,4
22100062,1628969,7,12,1,4,15,6
22100063,1630217,7,12,4,7,19,1
22100063,1629642,3,4,0,1,9,5
22100064,1630596,3,10,0,0,12,11
22100064,202331,6,20,0,8,12,-3
22100050,201980,4,8,4,8,12,-7
22100050,1629628,4,10,2,4,10,-1
22100051,203952,9,17,0,5,21,4
22100051,1629652,4,13,1,5,11,-7
22100052,1630256,3,9,0,2,6,-24
22100052,1627827,2,7,0,5,6,9
22100053,203145,2,6,1,3,5,6
22100053,1629640,2,10,0,3,11,-20
22100054,1629008,5,18,3,11,13,2
22100054,202711,5,14,1,5,15,-4
22100041,1628369,14,28,6,12,41,22
22100041,202330,5,12,2,5,15,-23
22100042,203114,9,17,2,3,27,8
22100042,203200,4,9,4,9,12,-11
22100043,1628367,7,12,1,4,18,-2
22100043,1628989,5,8,2,3,14,12
22100044,203484,5,11,1,4,11,-5
22100044,201142,9,17,1,2,25,6
22100045,1628976,3,7,1,5,9,-2
22100045,202710,15,21,0,0,36,8
22100046,201942,7,19,2,4,26,7
22100046,1630567,6,8,0,1,13,-10
22100047,1630529,0,1,0,0,0,1
22100047,1629006,0,2,0,1,1,-10
22100048,1628374,4,12,2,8,12,10
22100048,1629008,4,14,3,9,11,-10
22100049,1629642,4,7,2,4,10,-17
22100049,202331,6,16,2,8,14,21
22100035,202330,4,11,0,4,8,14
22100035,201142,17,24,2,6,38,-10
22100036,1628976,5,8,1,3,11,-4
22100036,1629628,5,17,1,7,12,-3
22100037,1628369,12,24,4,11,31,4
22100037,1630256,4,8,0,2,12,1
22100038,201980,4,6,3,5,11,1
22100038,1629652,5,11,1,6,13,0
22100039,203952,6,13,2,5,17,18
22100039,203084,7,13,5,10,24,-13
22100040,1630217,7,15,2,7,17,21
22100040,2544,7,19,4,9,19,-1
22100027,1629631,5,16,2,8,12,-11
22100027,1628374,3,15,1,6,12,-4
22100028,202710,7,22,1,3,19,-5
22100028,203200,3,8,1,5,7,12
22100029,1627827,5,9,1,3,11,15
22100029,1630567,6,12,0,2,17,7
22100030,1630180,8,16,1,5,20,-6
22100030,201942,7,18,0,1,21,19
22100031,1630529,1,6,0,1,2,7
22100031,1629006,0,1,0,0,0,8
22100032,203114,9,17,2,7,28,-6
22100032,1629640,9,18,0,4,20,-2
22100033,1628969,5,9,4,5,14,-13
22100033,1626181,6,8,2,4,16,16
22100034,1630217,7,15,4,10,19,12
22100034,202331,15,25,5,12,41,-14
22100017,202330,6,12,4,7,18,21
22100017,1628374,5,11,2,5,13,-9
22100018,1629628,3,8,0,5,7,12
22100018,1630532,6,12,4,5,16,-8
22100019,203200,2,4,1,3,5,-15
22100019,203484,2,4,2,4,7,1
22100020,1628384,4,17,0,5,14,11
22100020,1628369,8,14,2,4,18,-12
22100021,201142,9,20,1,6,29,11
22100021,201980,2,6,2,6,6,-8
22100022,1627742,10,20,2,3,26,-8
22100022,201942,9,20,0,2,26,15
22100023,1629652,3,9,1,5,8,-24
22100023,1630256,6,9,2,2,16,28
22100024,1629640,12,18,0,2,27,6
22100024,1629008,3,10,1,5,7,0
22100025,1628969,8,11,2,4,21,13
22100025,2544,8,18,5,9,25,-6
22100026,202711,5,11,2,5,13,12
22100026,1629056,3,8,0,4,6,-4
22100014,1627827,2,12,1,6,5,-21
22100014,1629631,5,11,1,3,11,19
22100015,203114,4,14,1,6,10,-26
22100015,202710,6,10,0,0,21,27
22100016,202331,12,23,5,11,29,3
22100016,203952,6,15,3,6,17,-5
22100003,203200,4,10,1,7,11,3
22100003,202330,10,22,2,4,27,12
22100004,201942,8,17,1,1,17,5
22100004,1630180,6,15,0,4,13,-6
22100005,1628369,7,30,2,15,20,-3
22100005,1629628,6,11,3,7,19,8
22100006,203484,2,7,1,5,5,2
22100006,1630567,5,13,0,1,12,-11
22100007,1628374,4,14,2,7,10,-4
22100007,1630217,8,16,2,6,22,-7
22100008,1630256,1,4,0,0,2,-16
22100008,1629006,2,5,0,1,6,20
22100009,201980,0,1,0,1,0,11
22100009,1628404,2,2,0,0,5,-2
22100010,1630532,6,9,0,2,12,-4
22100010,1629640,6,12,0,1,15,4
22100011,1629652,2,10,1,6,7,-21
22100011,202711,10,17,2,6,22,17
22100012,1629008,6,10,2,3,15,24
22100012,1628969,7,16,2,6,16,-21
22100013,203084,10,19,8,11,36,6
22100013,1626181,3,9,1,3,14,3
22100001,201142,13,25,3,7,32,-20
22100001,203114,8,17,1,4,20,20
22100002,203952,5,10,2,5,12,-5
22100002,2544,13,23,5,11,34,-2
12100059,1628369,8,19,2,8,23,-12
12100059,1629130,3,7,2,6,8,4
12100060,1627788,2,9,1,5,7,-11
12100060,1628367,5,11,4,8,14,27
12100061,1628374,1,1,0,0,2,5
12100061,1628470,3,7,0,2,6,-13
12100062,203484,2,3,1,2,6,16
12100062,1629628,7,14,4,6,18,0
12100063,1628991,10,18,7,12,29,-2
12100063,1630172,2,6,2,3,6,3
12100064,1627827,2,8,0,2,7,5
12100064,1629670,6,17,1,9,15,-9
12100065,1630256,1,5,0,2,4,-4
12100065,1629640,4,12,1,2,12,18
12100066,1626181,7,18,2,6,18,-13
12100066,203952,3,9,1,4,8,24
12100055,1628997,5,14,1,4,11,-23
12100055,1629631,7,12,4,6,19,26
12100056,1627752,5,12,3,8,13,-2
12100056,201142,8,16,3,6,19,18
12100057,203085,2,2,1,1,6,-2
12100057,1630581,6,13,1,4,13,2
12100058,2544,12,20,2,5,30,17
12100058,203084,4,13,3,8,15,-3
12100054,1626181,3,8,0,2,8,-14
12100054,1628969,2,6,2,5,6,16
12100048,1627827,2,5,2,3,7,23
12100048,1629667,1,9,1,4,3,-36
12100049,1630533,5,12,2,3,19,19
12100049,1628470,1,8,1,5,3,-1
12100050,1629684,1,5,1,2,4,4
12100050,1630532,3,8,1,5,7,2
12100051,203924,6,13,2,6,18,4
12100051,1629628,3,11,1,5,12,12
12100052,1629008,6,14,2,7,15,-15
12100052,1629652,4,7,3,4,14,4
12100053,203114,9,14,3,4,25,19
12100053,202711,4,9,2,6,14,-2
12100046,201609,5,9,4,5,16,-10
12100046,203484,5,8,5,8,15,9
12100047,203952,4,14,1,8,12,1
12100047,2544,7,16,1,4,17,2
12100039,1630256,5,7,0,0,10,-12
12100039,1628384,5,10,3,6,17,14
12100040,1629667,2,4,0,1,6,6
12100040,1628997,1,5,0,2,3,7
12100041,1628971,1,3,0,2,6,-13
12100041,201980,3,8,2,7,8,13
